C4370   1 1727  
C4371   1 1727  
C4372   1 1727  
C438    1 1728  
C439    1 1729  
C4400   1 17300 
C4401   1 17301 
C4402   1 17302 
C4409   1 17309 
C44101  1 17310 
C44102  1 17310 
C44109  1 17310 
C44111  1 17311 
C44112  1 17311 
C44119  1 17311 
C44121  1 17312 
C44122  1 17312 
C44129  1 17312 
C44191  1 17319 
C44192  1 17319 
C44199  1 17319 
C44201  1 17320 
C44202  1 17320 
C44209  1 17320 
C44211  1 17321 
C44212  1 17321 
C44219  1 17321 
C44221  1 17322 
C44222  1 17322 
C44229  1 17322 
C44291  1 17329 
C44292  1 17329 
C44299  1 17329 
C44300  1 17330 
C44301  1 17330 
C44309  1 17330 
C44310  1 17331 
C44311  1 17331 
C44319  1 17331 
C44320  1 17332 
C44321  1 17332 
C44329  1 17332 
C44390  1 17339 
C44391  1 17339 
C44399  1 17339 
C4440   1 17340 
C4441   1 17341 
C4442   1 17342 
C4449   1 17349 
C44500  1 17350 
C44501  1 17350 
C44509  1 17350 
C44510  1 17351 
C44511  1 17351 
C44519  1 17351 
C44520  1 17352 
C44521  1 17352 
C44529  1 17352 
C44590  1 17359 
C44591  1 17359 
C44599  1 17359 
C44601  1 17360 
C44602  1 17360 
C44609  1 17360 
C44611  1 17361 
C44612  1 17361 
C44619  1 17361 
C44621  1 17362 
C44622  1 17362 
C44629  1 17362 
C44691  1 17369 
C44692  1 17369 
C44699  1 17369 
C44701  1 17370 
C44702  1 17370 
C44709  1 17370 
C44711  1 17371 
C44712  1 17371 
C44719  1 17371 
C44721  1 17372 
C44722  1 17372 
C44729  1 17372 
C44791  1 17379 
C44792  1 17379 
C44799  1 17379 
C4480   1 17380 
C4481   1 17381 
C4482   1 17382 
C4489   1 17389 
C4490   1 17390 
C4491   1 17391 
C4492   1 17392 
C4499   1 17399 
C450    1 1639  
C451    1 1588  
C452    1 1641  
C457    1 1958  
C459    1 1991  
C460    1 1760  
C461    1 1761  
C462    1 1762  
C463    1 1765  
C464    1 1763  
C4650   1 1764  
C4651   1 1764  
C4652   1 1764  
C467    1 1768  
C469    1 1769  
C470    1 1710  
C4710   1 1712  
C4711   1 1712  
C4712   1 1712  
C4720   1 1713  
C4721   1 1713  
C4722   1 1713  
C473    1 1714  
C474    1 1715  
C475    1 1716  
C476    1 1717  
C478    1 1718  
C479    1 1719  
C480    1 1580  
C481    1 1588  
C482    1 1589  
C488    1 1588  
C490    1 1710  
C4910   1 1712  
C4911   1 1712  
C4912   1 1712  
C4920   1 1713  
C4921   1 1713  
C4922   1 1713  
C493    1 1714  
C494    1 1715  
C495    1 1716  
C496    1 1717  
C498    1 1718  
C499    1 1719  
C4A0    1 20931 
C4A10   1 20931 
C4A11   1 20931 
C4A12   1 20931 
C4A20   1 20931 
C4A21   1 20931 
C4A22   1 20931 
C4A30   1 20931 
C4A31   1 20931 
C4A39   1 20931 
C4A4    1 20932 
C4A51   1 20935 
C4A52   1 20935 
C4A59   1 20935 
C4A60   1 20933 
C4A61   1 20933 
C4A62   1 20933 
C4A70   1 20934 
C4A71   1 20934 
C4A72   1 20934 
C4A8    1 20936 
C4A9    1 20936 
C50011  1 1740  
C50012  1 1740  
C50019  1 1740  
C50021  1 1750  
C50022  1 1750  
C50029  1 1750  
C50111  1 1741  
C50112  1 1741  
C50119  1 1741  
C50121  1 1759  
C50122  1 1759  
C50129  1 1759  
C50211  1 1742  
C50212  1 1742  
C50219  1 1742  
C50221  1 1759  
C50222  1 1759  
C50229  1 1759  
C50311  1 1743  
C50312  1 1743  
C50319  1 1743  
C50321  1 1759  
C50322  1 1759  
C50329  1 1759  
C50411  1 1744  
C50412  1 1744  
C50419  1 1744  
C50421  1 1759  
C50422  1 1759  
C50429  1 1759  
C50511  1 1745  
C50512  1 1745  
C50519  1 1745  
C50521  1 1759  
C50522  1 1759  
C50529  1 1759  
C50611  1 1746  
C50612  1 1746  
C50619  1 1746  
C50621  1 1759  
C50622  1 1759  
C50629  1 1759  
C50811  1 1748  
C50812  1 1748  
C50819  1 1748  
C50821  1 1759  
C50822  1 1759  
C50829  1 1759  
C50911  1 1749  
C50912  1 1749  
